market,store,base,platform,outcome,sealed_products,in_stock,collections,detail
CA,Team Collectors,https://teamcollectors.com,shopify,listed,38,29,pokemon-sealed-eng-canada pokemon-blind-box-canada,
CA,The CG Realm,https://thecgrealm.com,shopify,listed,6,6,pokemon-sealed new-arrivals,
CA,The Mythic Store,https://themythicstore.com,shopify,listed,436,54,pokemon-sealed-products pokemon,
CA,The Poke Office,https://www.thepokeoffice.com,shopify,too-few,0,0,,
CA,Tistaminis,https://tistaminis.com,shopify,listed,370,103,pokemon,
CA,TonkaTom's TCG Station,https://tonkatomstcgstation.ca,shopify,listed,404,60,pokemon-sealed-product pokemon-promos,
CA,ToonTownHobbies,https://toontownhobbies.com,shopify,listed,51,4,sealed-pokemon-cards booster-boxes black-friday-pokemon-sales pokemon-go-set,
CA,Top Shelf Collection,https://topshelfco.ca,shopify,listed,260,24,pokemon-collections pokemon-tins pokemon-etbs,
CA,Toy Snowman,https://toysnowman.com,shopify,listed,26,26,pokemon-tcg,
CA,UbeCard,https://ubecard.com,shopify,too-few,1,1,pokemon,
CA,Vancity CJ Trading Cards,https://vancitycj.com,shopify,listed,102,8,pokemon-tcg sealed-product,
CA,Vancity TCG,https://www.vancitytcg.ca,shopify,listed,16,16,pokemon-sealed,
CA,Vaulted Icons,https://vaultedicons.com,shopify,listed,10,9,pokemon-cards,
CA,Vulcan Collectibles,https://vulcancollectibles.com,shopify,listed,30,15,sealed collection-box new-arrivals,
CA,Wandering Adventures,https://wanderingadventures.ca,shopify,too-few,2,2,pokemon-cards,
CA,Yume Cards Inc.,https://www.yumecards.ca,shopify,listed,156,60,english-pokemon,
EU,BaruZcard,https://baruzcard.it,shopify,listed,214,26,pokemon tutti-i-pokemon,
EU,Battle Bear Kaiserslautern,https://battle-bear-kl.de,shopify,listed,42,42,pokemon,
EU,Battle Bear Saarbr\u00fccken,https://www.battle-bear-sb.de,shopify,listed,41,38,pokemon pokemon-booster-theke,
EU,Bescards,https://www.bescards.com,shopify,listed,251,111,pokemon-sealed,
